id,existing year,gps_height,installer,longitude,latitude,num_private,basin,region,population,public_meeting,scheme_management,permit,extraction_type_class,management_group,payment_type,water_quality,quantity,source_class,waterpoint_type_group
50785,1.0,1996,other,35.2907992,-4.05969643,0,Internal,Manyara,321,True,Parastatal,True,other,parastatal,never pay,soft,seasonal,surface,other
51630,13.0,1569,dwe,36.65670893,-3.30921425,0,Pangani,Arusha,300,True,VWC,True,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
17168,3.0,1567,other,34.76786315,-5.00434437,0,Internal,Singida,500,True,VWC,unknown,other,user-group,never pay,soft,insufficient,surface,other
45559,26.0,267,community,38.05804609,-9.41867222,0,Ruvuma / Southern Coast,Lindi,250,unknown,VWC,True,other,user-group,unknown,soft,dry,groundwater,other
49871,13.0,1260,other,35.00612345,-10.950412,0,Ruvuma / Southern Coast,Ruvuma,60,unknown,Water Board,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
52449,23.0,1685,dwe,36.68527855,-3.30242017,0,Pangani,Arusha,200,True,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
24806,4.0,550,government,36.39804116,-7.54138236,0,Rufiji,Iringa,600,True,VWC,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump
28965,31.0,234,other,39.60741997,-10.89378645,0,Ruvuma / Southern Coast,Mtwara,1,True,Water Board,True,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
36301,16.0,584,other,39.26295070000001,-10.82358805,0,Ruvuma / Southern Coast,Mtwara,40,True,VWC,False,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
54122,10.0,1083,community,37.09610836,-3.25175375,0,Pangani,Kilimanjaro,1,True,Water Board,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
419,7.0,1259,ces,37.23324768,-3.24112116,0,Pangani,Kilimanjaro,75,True,Water Board,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
45750,11.0,608,community,37.68639178,-4.55597478,0,Pangani,Manyara,500,True,unknown,True,other,user-group,never pay,soft,dry,surface,other
653,unknown,0,other,33.66107435,-4.16572015,0,Internal,Tabora,0,True,Other,True,motorpump,user-group,unknown,soft,dry,groundwater,communal standpipe
14017,unknown,0,dwe,33.00768032,-3.2095291,0,Lake Victoria,Mwanza,0,True,VWC,True,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
44607,27.0,1625,danida,35.61562385,-7.87029042,0,Rufiji,Iringa,1,True,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
40228,24.0,916,dwe,35.48288627,-10.91259619,0,Ruvuma / Southern Coast,Ruvuma,0,True,VWC,True,gravity,user-group,annually,soft,enough,surface,communal standpipe
27714,unknown,-39,other,39.85018977,-7.72794628,0,Rufiji,Pwani,900,True,VWC,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
28785,33.0,1793,dwe,38.25402354,-4.5658016,0,Pangani,Tanga,1,True,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
28330,unknown,0,dwe,31.58679783,-3.38780779,0,Lake Tanganyika,Shinyanga,0,True,Parastatal,True,gravity,parastatal,unknown,soft,seasonal,surface,communal standpipe
18532,31.0,368,other,39.43852591,-10.58336646,0,Ruvuma / Southern Coast,Mtwara,300,True,Water Board,True,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
69961,3.0,-27,unknown,39.32230666,-6.85026202,0,Wami / Ruvu,Dar es Salaam,120,True,SWC,False,submersible,other,never pay,soft,enough,groundwater,communal standpipe
55083,3.0,1674,dwe,34.94362033,-9.35251465,0,Rufiji,Iringa,30,True,VWC,False,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
8691,8.0,1087,dwe,31.04608844,-5.05419563,0,Lake Tanganyika,Kigoma,1750,True,VWC,True,other,user-group,unknown,milky,enough,groundwater,other
30331,43.0,1441,other,34.62104755,-5.16592646,0,Internal,Singida,1,True,VWC,unknown,motorpump,user-group,unknown,unknown,dry,groundwater,communal standpipe
70970,unknown,0,dwe,33.72235857,-3.04712172,0,Lake Victoria,Shinyanga,0,True,WUG,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
61136,3.0,1726,dwe,34.92959242,-9.15287185,0,Rufiji,Iringa,50,True,VWC,False,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
28799,4.0,986,dwe,35.42444315,-10.57968552,0,Ruvuma / Southern Coast,Ruvuma,0,True,VWC,True,gravity,user-group,never pay,soft,dry,surface,communal standpipe
46825,unknown,0,other,35.89487669,-6.14752205,0,Wami / Ruvu,Dodoma,0,True,VWC,False,motorpump,user-group,per bucket,salty,dry,groundwater,communal standpipe
44718,unknown,0,dwe,0.0,-2e-08,0,Lake Victoria,Shinyanga,0,True,WUG,False,handpump,user-group,on failure,salty abandoned,enough,groundwater,hand pump
37350,11.0,1309,other,36.29176128,-5.24231281,0,Internal,Manyara,860,True,VWC,False,gravity,user-group,never pay,soft,seasonal,surface,communal standpipe
65738,11.0,1564,other,35.6124173,-3.35116762,0,Internal,Arusha,200,True,VWC,True,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
3271,unknown,0,dwe,32.86178245,-3.92819891,0,Internal,Tabora,0,False,VWC,True,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
42658,unknown,0,other,33.12453405,-4.85766882,0,Lake Tanganyika,Tabora,0,True,VWC,True,handpump,user-group,never pay,soft,seasonal,groundwater,hand pump
67523,15.0,1537,other,35.66507527,-3.34770932,0,Internal,Arusha,300,True,VWC,True,gravity,user-group,per bucket,coloured,enough,surface,communal standpipe
37034,33.0,1489,dwe,34.72199105,-8.86253212,0,Rufiji,Iringa,360,True,WUA,True,gravity,user-group,monthly,soft,enough,surface,communal standpipe
42432,33.0,1798,dwe,34.70534261,-9.1394961,0,Rufiji,Iringa,45,True,WUA,True,gravity,user-group,monthly,soft,enough,surface,communal standpipe
27420,40.0,0,dwe,38.83713732,-4.77558442,0,Pangani,Tanga,200,True,VWC,True,gravity,user-group,never pay,coloured,insufficient,groundwater,communal standpipe
707,41.0,1642,other,37.65808091,-3.7238624,3,Pangani,Kilimanjaro,45,True,WUA,False,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
48489,27.0,362,dwe,37.47632192,-6.28331307,0,Wami / Ruvu,Morogoro,1,True,VWC,True,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
51008,unknown,0,danida,33.32603356,-8.88128573,0,Lake Rukwa,Mbeya,0,True,VWC,False,gravity,user-group,on failure,soft,dry,surface,communal standpipe
72562,7.0,128,other,40.04071287,-10.49203103,0,Ruvuma / Southern Coast,Mtwara,400,True,VWC,True,submersible,user-group,per bucket,soft,enough,groundwater,communal standpipe
10275,28.0,216,dwe,38.72134804,-5.17252308,0,Pangani,Tanga,120,True,VWC,False,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
53540,unknown,0,community,33.14491487,-3.71753771,0,Lake Victoria,Shinyanga,0,True,VWC,True,other,user-group,never pay,soft,enough,groundwater,communal standpipe
43291,unknown,0,other,33.33199615,-2.70336413,0,Lake Victoria,Mwanza,0,True,VWC,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump
8813,unknown,0,dwe,33.13082951,-3.22665421,0,Lake Victoria,Mwanza,0,True,VWC,True,submersible,user-group,per bucket,soft,enough,surface,communal standpipe
62343,unknown,0,government,33.62516779,-8.86101931,0,Rufiji,Mbeya,0,True,VWC,True,gravity,user-group,on failure,soft,dry,surface,communal standpipe
