id,amount_tsh,days_since_recorded,funder,gps_height,installer,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,water_quality,quantity,source_class,waterpoint_type_group
50785,0.0,302,other,1996,other,Internal,Manyara,321,True,other,True,10s,other,parastatal,never pay,soft,seasonal,surface,other
51630,0.0,302,government,1569,dwe,Pangani,Arusha,300,True,vwc,True,00s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
17168,0.0,305,other,1567,other,Internal,Singida,500,True,vwc,unknown,10s,other,user-group,never pay,soft,insufficient,surface,other
45559,0.0,315,other,267,other,Ruvuma / Southern Coast,Lindi,250,unknown,vwc,True,80s,other,user-group,unknown,soft,dry,groundwater,other
49871,500.0,251,other,1260,other,Ruvuma / Southern Coast,Ruvuma,60,unknown,water_board,True,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
52449,0.0,274,government,1685,dwe,Pangani,Arusha,200,True,vwc,True,90s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
24806,0.0,1007,government,550,other,Rufiji,Iringa,600,True,vwc,True,00s,handpump,user-group,never pay,salty,enough,groundwater,hand pump
28965,0.0,312,other,234,other,Ruvuma / Southern Coast,Mtwara,1,True,water_board,True,80s,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
36301,30.0,314,other,584,other,Ruvuma / Southern Coast,Mtwara,40,True,vwc,False,90s,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
54122,0.0,260,other,1083,other,Pangani,Kilimanjaro,1,True,water_board,True,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
419,5.0,61,other,1259,other,Pangani,Kilimanjaro,75,True,water_board,True,00s,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
45750,0.0,279,other,608,other,Pangani,Manyara,500,True,other,True,00s,other,user-group,never pay,soft,dry,surface,other
653,0.0,418,world_bank,0,other,Internal,Tabora,0,True,other,True,unknown,motorpump,user-group,unknown,soft,dry,groundwater,communal standpipe
14017,0.0,858,other,0,dwe,Lake Victoria,Mwanza,0,True,vwc,True,unknown,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
44607,1000.0,1007,danida,1625,other,Rufiji,Iringa,1,True,vwc,True,80s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
40228,1200.0,183,danida,916,dwe,Ruvuma / Southern Coast,Ruvuma,0,True,vwc,True,80s,gravity,user-group,annually,soft,enough,surface,communal standpipe
27714,0.0,1013,other,-39,other,Rufiji,Pwani,900,True,vwc,False,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
28785,200.0,998,government,1793,dwe,Pangani,Tanga,1,True,vwc,True,70s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
