id,amount_tsh,existing year,funder,gps_height,installer,num_private,basin,subvillage,region,population,public_meeting,recorded_by,scheme_management,permit,extraction_type_class,management_group,payment_type,water_quality,quantity,source_class,waterpoint_type_group
50785,0.0,1.0,Dmdd,1996,DMDD,0,Internal,Magoma,Manyara,321.0,True,GeoData Consultants Ltd,Parastatal,True,other,parastatal,never pay,soft,seasonal,surface,other
51630,0.0,13.0,Government Of Tanzania,1569,DWE,0,Pangani,Kimnyak,Arusha,300.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
17168,0.0,3.0,unknown,1567,unknown,0,Internal,Msatu,Singida,500.0,True,GeoData Consultants Ltd,VWC,unknown,other,user-group,never pay,soft,insufficient,surface,other
45559,0.0,26.0,Finn Water,267,FINN WATER,0,Ruvuma / Southern Coast,Kipindimbi,Lindi,250.0,unknown,GeoData Consultants Ltd,VWC,True,other,user-group,unknown,soft,dry,groundwater,other
49871,500.0,13.0,Bruder,1260,BRUDER,0,Ruvuma / Southern Coast,Losonga,Ruvuma,60.0,unknown,GeoData Consultants Ltd,Water Board,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
52449,0.0,23.0,Government Of Tanzania,1685,DWE,0,Pangani,Masaga,Arusha,200.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
24806,0.0,4.0,Government Of Tanzania,550,Gover,0,Rufiji,Kichangani,Iringa,600.0,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump
28965,0.0,31.0,Finw,234,FinW,0,Ruvuma / Southern Coast,Ilala,Mtwara,1.0,True,GeoData Consultants Ltd,Water Board,True,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
36301,30.0,16.0,Unicef,584,LGA,0,Ruvuma / Southern Coast,Bondeni,Mtwara,40.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
54122,0.0,10.0,Lawatefuka Water Supply,1083,Lawatefuka water sup,0,Pangani,Donyomuruak,Kilimanjaro,1.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
419,5.0,7.0,Germany Republi,1259,CES,0,Pangani,Saa,Kilimanjaro,75.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
45750,0.0,11.0,World Vision,608,World vision,0,Pangani,Remit,Manyara,500.0,True,GeoData Consultants Ltd,unknown,True,other,user-group,never pay,soft,dry,surface,other
653,0.0,unknown,World Bank,0,Building works company Ltd,0,Internal,Chonja,Tabora,<built-in function zeros>,True,GeoData Consultants Ltd,Other,True,motorpump,user-group,unknown,soft,dry,groundwater,communal standpipe
14017,0.0,unknown,Ministry Of Water,0,DWE,0,Lake Victoria,Ilobashi,Mwanza,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
